"term_en","ipa","term_uz","term_ru","definition_uz","definition_ru","etymology","category","yield","is_phrase","audio_url"
"17-alpha-hydroxylase","/ˌsɛvənˈtiːn ˈælfə haɪˈdrɒksɪleɪz/","17-alfa-gidroksilaza","17-альфа-гидроксилаза","Pregnenolon va progesteronni steroid gormonlar prekursorlariga aylantiruvchi ferment.","Фермент, участвующий в синтезе стероидных гормонов, превращающий прегненолон и прогестерон в предшественники андрогенов и кортизола.","Named for the specific carbon position (17) and the addition of a hydroxyl group (-OH).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/87/873c9220f14705a26b402072d827686896c87da0.mp3"
"17-hydroxycorticosteroid","/ˌsɛvəntiːn haɪˌdrɒksikɔːrtɪkoʊˈstɪərɔɪd/","17-oksikortikosteroid","17-оксикортикостероид","Kortizol metabolizmining siydik bilan chiqariladigan mahsuloti.","Продукт метаболизма кортизола, выделяемый с мочой.","Chemical nomenclature: 17 (carbon position) + hydroxy (OH group) + corticosteroid.","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/9c/9c5e7c2c26b8813959cc3506e2984437f58daa02.mp3"
"17-hydroxyprogesterone","/ˌsɛvənˈtiːn haɪˌdrɒksiproʊˈdʒɛstəroʊn/","17-gidroksiprogesteron","17-оксипрогестерон","Kortizol sintezidagi oraliq mahsulot bo'lib, uning miqdori 21-gidroksilaza yetishmovchiligida keskin ortadi.","Промежуточный метаболит синтеза кортизола, накопление которого является диагностическим маркером дефицита 21-гидроксилазы.","Chemical nomenclature: hydroxy- (oxygen + hydrogen) + pro- (before) + gester (gestation) + -one (ketone).","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/05/055e3661c8f67205a4fee147750e158c8afb8fd9.mp3"
"2,3-bisphosphoglycerate","/tuː θriː ˌbaɪsfɒsfoʊˈɡlɪsəreɪt/","2,3-bisfosfoglitserat","2,3-бисфосфоглицерат","Eritrotsitlarda hosil bo'ladigan va gemoglobinning kislorodga yaqinligini kamaytiradigan molekula.","Органическое соединение, которое связывается с дезоксигемоглобином и снижает его сродство к кислороду.","Chemical nomenclature: bis- (two) + phospho- (phosphate) + glycerate (sugar derivative).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/0a/0afc3e06d73f2205bfbf9dacb8f40a74e6ff4a17.mp3"
"20-pack-year smoking history","/ˈtwɛnti pæk jɪər ˈsmoʊkɪŋ ˈhɪstəri/","20 quti-yil chekish anamnezi","анамнез курения 20 пачко-лет","Chekilgan sigaretalar miqdorini o'lchash birligi (kuniga qutilar soni x yillar soni).","Единица измерения стажа курения (количество пачек в день, умноженное на количество лет).","null","idiom","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/78/787301a99f34e6ae09b3f1539448612cb1a719b8.mp3"
"21-hydroxylase deficiency","/ˌtwɛnti wʌn haɪˈdrɒksɪleɪz dɪˈfɪʃənsi/","21-gidroksilaza fermenti yetishmovchiligi","дефицит 21-гидроксилазы","Tug'ma buyrak usti bezi giperplaziyasining eng ko'p uchraydigan sababi bo'lib, kortizol va aldosteron yetishmovchiligiga olib keladi.","Наиболее частая причина ВГН, приводящая к нарушению синтеза кортизола и альдостерона с накоплением предшественников андрогенов.","Named for the enzyme that adds a hydroxyl group (-OH) at the 21st carbon position of the steroid ring.","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/7c/7c6cfef34a5d7e009f47f1c2f1cab199f645ea3b.mp3"
"3-Hz spike-wave discharges","/θriː hɜːrts spaɪk weɪv ˈdɪstʃɑːrdʒɪz/","3-Gs li 'cho'qqi-to'lqin' razryadlari","разряды пик-волна частотой 3 Гц","Absans xurujlari uchun xos bo'lgan, elektroensefalogrammada (EEG) ko'rinadigan patognomonik ko'rinish.","Патогномоничный паттерн на электроэнцефалограмме (ЭЭГ), характерный для абсансов.","Named for the frequency (Hertz) and the visual appearance of the electrical waveform.","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/91/91986a258008b37cfce5f9cd08546be64b451792.mp3"
"3' → 5' exonuclease activity","/θriː praɪm faɪv praɪm ˌɛksoʊˈnjuːkliˌeɪs ækˈtɪvɪti/","3' → 5' ekzonukleaza faolligi","3' → 5' экзонуклеазная активность","DNK yoki RNK polimerazaning xatolarni tuzatish (proofreading) qobiliyati bo'lib, u noto'g'ri qo'shilgan nukleotidlarni zanjirning oxiridan olib tashlaydi.","Способность ДНК- или РНК-полимеразы исправлять ошибки (корректорская правка), удаляя неправильно вставленные нуклеотиды с конца цепи.","Greek exo- (outside) + Latin nucleus (kernel) + -ase (enzyme).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/5b/5b019777b83a0c3303ac3207d64f6894535e1f13.mp3"
"3′ to 5′ exonuclease activity","/θriː tuː faɪv ˌɛksoʊˈnjuːkliˌeɪs ækˈtɪvɪti/","3' dan 5' yo'nalishidagi ekzonukleaza faolligi","3'–5'-экзонуклеазная активность","DNK polimerazaning xato qo'yilgan nukleotidlarni zanjirning oxiridan boshlab kesib olib tashlash qobiliyati.","Способность ДНК-полимеразы удалять ошибочно включенные нуклеотиды с конца растущей цепи.","Greek exo- (outside) + Latin nucleus (kernel) + -ase (enzyme suffix).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/89/891d40a5b7f37a9b207aee8d2565c83dc1aedf51.mp3"
"30-pack-year history","/ˈθɜːrti pæk jɪər ˈhɪstəri/","30 quti-yil chekish tarixi","стаж курения 30 пачко-лет","Chekish miqdorini o'lchovchi birlik: kuniga chekilgan qutilar sonini chekilgan yillar soniga ko'paytmasi.","Показатель интенсивности курения, рассчитываемый как количество пачек сигарет в день, умноженное на количество лет курения.","Compound of English pack + year.","idiom","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/36/3664c3b6deed9855806d17d6daf9a38443522265.mp3"
